8	246.01	1600	3.48485	0.18	4.58569	8.3786	2.40613
8.1	248.93	1600	3.48754	0.18	4.58857	8.3875	2.40534
8.2	251.85	1600	3.49023	0.18	4.59146	8.39637	2.40454
8.3	254.77	1600	3.49292	0.18	4.59434	8.40524	2.40375
8.4	257.69	1600	3.49561	0.18	4.59722	8.41409	2.40296
8.5	260.62	1600	3.4983	0.18	4.60011	8.42293	2.40217
8.6	263.54	1600	3.50099	0.18	4.60299	8.43176	2.40139
8.7	266.45	1600	3.50368	0.18	4.60588	8.44058	2.40061
8.8	269.36	1600	3.50637	0.18	4.60877	8.44939	2.39983
8.9	272.26	1600	3.50907	0.18	4.61166	8.45819	2.39905
9	275.16	1600	3.51176	0.18	4.61456	8.46699	2.39827
9.1	278.06	1600	3.51446	0.18	4.61746	8.47579	2.3975
9.2	280.97	1600	3.51716	0.18	4.62037	8.48458	2.39673
9.3	283.87	1600	3.51987	0.18	4.62328	8.49337	2.39596
9.4	286.77	1600	3.52258	0.18	4.6262	8.50216	2.39519
9.5	289.68	1600	3.52529	0.18	4.62913	8.51096	2.39442
9.6	292.58	1600	3.52801	0.18	4.63207	8.51975	2.39366
9.7	295.48	1600	3.53074	0.18	4.63502	8.52856	2.3929
9.8	298.39	1600	3.53347	0.18	4.63798	8.53737	2.39213
9.9	301.29	1600	3.53621	0.18	4.64095	8.54618	2.39137
10	304.19	1600	3.54262	0.18	4.67379	8.58714	2.38904
10.1	307.1	1600	3.54528	0.18	4.67652	8.59538	2.38827
10.2	310	1600	3.54794	0.18	4.67924	8.60361	2.3875
10.3	312.81	1600	3.5506	0.18	4.68195	8.61184	2.38674
10.4	315.62	1600	3.55327	0.18	4.68466	8.62005	2.38598
10.5	318.44	1600	3.55594	0.18	4.68735	8.62826	2.38522
10.6	321.25	1600	3.55862	0.18	4.69004	8.63646	2.38446
10.7	324.06	1600	3.56131	0.18	4.69272	8.64465	2.3837
10.8	326.88	1600	3.564	0.18	4.6954	8.65284	2.38295
10.9	329.69	1600	3.56669	0.18	4.69806	8.66102	2.3822
