  19.079 -155.773 370-10.9795654357 0.00584
  20.771 -155.997 345 -3.1534926801 0.01709
  20.046 -155.711 330 -0.8827294904 0.03654
  21.971 -159.401 325 -0.5153896944   0.064
  21.423 -158.015 337  -0.763531156 0.03569
  20.891 -156.658 390 -0.6996678833 0.02797
  20.767 -156.245 387 -0.6721706819 0.08314
  21.109  -157.27 340 -1.0494421554 0.04019
  22.123 -159.665 340 -0.6333940243 0.06201
 20.4999-154.9375 325 -1.7649540504 0.04697
  21.507-154.9944 485 -0.7286343795 0.04279
 21.5197-153.9827 345 -0.1929945007 0.04227
 20.8926 -153.292 340 -1.3290472164 0.03042
 18.7976-153.9923 355 -4.7630547225 0.00948
 18.8009-153.2959 325 -6.1308450438 0.01705
 18.4814-152.1324 390 -2.2686609858 0.03959
 17.9884-154.0305 335 -2.6162134717 0.02457
 18.8031-154.7974 355 -1.5238890846 0.02891
 18.0003 -155.715 365 -1.5790354706 0.01992
 18.4042-156.8082 312 -1.0761430344 0.03803
 18.9831-157.2286 330 -0.9066499198 0.03134
 19.4777-156.5101 330 -0.6633539254 0.10706
 19.8327 -156.932 340 -0.2811529242 0.09524
 19.8234-160.0475 345 -0.4764250504 0.08467
 21.9563-161.3149 340  -0.877314116 0.07906
 22.6217-158.1842 392 -0.9207706262 0.06473
 14.6596-157.8591 362 -0.5925172411 0.03293
 16.3484-157.7008 405 -0.8144917364 0.00742
