44.500 -109.500 -0.496 511.100 255.600 170.400 127.800 102.200 85.200 73.000 63.900 56.800
46.000 -112.000 -0.185 505.900 253.000 168.600 126.500 101.200 84.300 72.300 63.200 56.200
43.500 -110.000 -0.415 505.900 253.000 168.600 126.500 101.200 84.300 72.300 63.200 56.200
35.500 -106.000 -0.447 492.400 246.200 164.100 123.100 98.500 82.100 70.300 61.600 54.700
45.000 -110.000 -0.433 485.100 242.600 161.700 121.300 97.000 80.900 69.300 60.600 53.900
36.500 -111.500 -0.462 485.100 242.600 161.700 121.300 97.000 80.900 69.300 60.600 53.900
42.000 -119.500 -0.470 485.100 242.600 161.700 121.300 97.000 80.900 69.300 60.600 53.900
36.000 -104.000 -0.316 474.700 237.400 158.200 118.700 94.900 79.100 67.800 59.300 52.700
46.500 -111.000 -0.435 474.700 237.400 158.200 118.700 94.900 79.100 67.800 59.300 52.700
41.000 -120.000 -0.521 474.700 237.400 158.200 118.700 94.900 79.100 67.800 59.300 52.700
46.000 -124.000 -0.233 465.200 232.600 155.100 116.300 93.000 77.500 66.500 58.100 51.700
42.000 -120.000 -0.399 459.100 229.500 153.000 114.800 91.800 76.500 65.600 57.400 51.000
36.500 -103.500 -0.436 453.900 226.900 151.300 113.500 90.800 75.600 64.800 56.700 50.400
42.000 -119.000 -0.394 448.700 224.300 149.600 112.200 89.700 74.800 64.100 56.100 49.900
36.500 -104.000 -0.441 448.700 224.300 149.600 112.200 89.700 74.800 64.100 56.100 49.900
41.000 -121.000 -0.439 433.100 216.500 144.400 108.300 86.600 72.200 61.900 54.100 48.100
44.500 -110.000 -0.565 427.900 213.900 142.600 107.000 85.600 71.300 61.100 53.500 47.500
39.500 -105.000 -1.023 427.900 213.900 142.600 107.000 85.600 71.300 61.100 53.500 47.500
43.000 -113.500 -0.286 417.400 208.700 139.100 104.400 83.500 69.600 59.600 52.200 46.400
45.500 -109.500 -0.493 417.400 208.700 139.100 104.400 83.500 69.600 59.600 52.200 46.400
46.000 -110.000 -0.364 412.600 206.300 137.500 103.100 82.500 68.800 58.900 51.600 45.800
43.500 -113.500 -0.306 412.200 206.100 137.400 103.100 82.400 68.700 58.900 51.500 45.800
45.500 -110.000 -0.465 412.200 206.100 137.400 103.100 82.400 68.700 58.900 51.500 45.800
40.000 -104.500 -0.483 412.200 206.100 137.400 103.100 82.400 68.700 58.900 51.500 45.800
45.500 -108.500 -0.368 401.800 200.900 133.900 100.500 80.400 67.000 57.400 50.200 44.600
47.000 -106.500 -0.410 401.800 200.900 133.900 100.500 80.400 67.000 57.400 50.200 44.600
42.000 -121.000 -0.257 396.600 198.300 132.200 99.200 79.300 66.100 56.700 49.600 44.100
38.500 -107.000 -0.673 396.600 198.300 132.200 99.200 79.300 66.100 56.700 49.600 44.100
43.000 -122.500 -0.597 386.400 193.200 128.800 96.600 77.300 64.400 55.200 48.300 42.900
45.500 -115.500 -0.311 384.900 192.500 128.300 96.200 77.000 64.200 55.000 48.100 42.800
41.500 -119.000 -0.352 384.500 192.200 128.200 96.100 76.900 64.100 54.900 48.100 42.700
44.500 -108.500 -0.371 381.000 190.500 127.000 95.300 76.200 63.500 54.400 47.600 42.300
46.000 -109.500 -0.402 375.800 187.900 125.300 94.000 75.200 62.600 53.700 47.000 41.800
43.000 -111.500 -0.310 370.600 185.300 123.500 92.700 74.100 61.800 52.900 46.300 41.200
40.500 -105.500 -0.409 370.600 185.300 123.500 92.700 74.100 61.800 52.900 46.300 41.200
35.500 -111.000 -0.269 365.400 182.700 121.800 91.400 73.100 60.900 52.200 45.700 40.600
39.500 -107.000 -0.385 355.000 177.500 118.300 88.700 71.000 59.200 50.700 44.400 39.400
42.000 -122.000 -0.397 355.000 177.500 118.300 88.700 71.000 59.200 50.700 44.400 39.400
43.000 -117.500 -0.616 355.000 177.500 118.300 88.700 71.000 59.200 50.700 44.400 39.400
43.000 -118.000 -0.454 349.800 174.900 116.600 87.400 70.000 58.300 50.000 43.700 38.900
46.500 -110.500 -0.485 349.800 174.900 116.600 87.400 70.000 58.300 50.000 43.700 38.900
46.000 -123.500 -0.337 344.600 172.300 114.900 86.100 68.900 57.400 49.200 43.100 38.300
36.000 -111.000 -0.362 339.400 169.700 113.100 84.800 67.900 56.600 48.500 42.400 37.700
