22.25 -163.2 378 414 -1.58 383.3 191.6 127.8 95.82 76.66 63.88 54.76 47.91 42.59
22.5 -163.2 378 414 -1.62 398.1 199 132.7 99.52 79.61 66.35 56.87 49.76 44.23
22.75 -163.2 378 414 -1.65 413.3 206.7 137.8 103.3 82.66 68.89 59.05 51.67 45.92
23 -163.2 378 413.7 -1.68 393.3 196.7 131.1 98.33 78.66 65.55 56.19 49.16 43.7
23.25 -163.2 378 413 -1.72 339 169.5 113 84.74 67.8 56.5 48.43 42.37 37.66
23.5 -163.2 378 412 -1.76 249.4 124.7 83.13 62.35 49.88 41.56 35.63 31.17 27.71
23.75 -163.2 378 411 -1.82 159.8 79.9 53.26 39.95 31.96 26.63 22.83 19.97 17.75
24 -163.2 378.2 410.8 -1.75 124 62.02 41.35 31.01 24.81 20.67 17.72 15.51 13.78
24.25 -163.2 378.5 411.2 -1.6 142.2 71.08 47.39 35.54 28.43 23.69 20.31 17.77 15.8
19.75 -163 383.5 413.1 -0.95 -207.6 -103.8 -69.21 -51.91 -41.53 -34.61 -29.66 -25.96 -23.07
20 -163 383.4 413.8 -1.08 -155.2 -77.61 -51.74 -38.8 -31.04 -25.87 -22.17 -19.4 -17.25
20.25 -163 382.9 414.2 -1.18 -107.1 -53.54 -35.7 -26.77 -21.42 -17.85 -15.3 -13.39 -11.9
20.5 -163 382.1 414.3 -1.23 -62.77 -31.38 -20.92 -15.69 -12.55 -10.46 -8.966 -7.846 -6.974
20.75 -163 381.3 414.5 -1.28 -17.49 -8.746 -5.831 -4.373 -3.498 -2.915 -2.499 -2.186 -1.944
21 -163 380.5 414.6 -1.32 43.03 21.52 14.34 10.76 8.606 7.172 6.147 5.379 4.781
21.25 -163 379.8 414.8 -1.36 120.2 60.12 40.08 30.06 24.05 20.04 17.18 15.03 13.36
21.5 -163 379.1 415 -1.4 213.6 106.8 71.21 53.41 42.73 35.61 30.52 26.71 23.74
21.75 -163 378.4 415.2 -1.44 307 153.5 102.3 76.76 61.41 51.17 43.86 38.38 34.12
22 -163 377.9 415.3 -1.5 373.8 186.9 124.6 93.44 74.75 62.29 53.4 46.72 41.53
22.25 -163 377.7 415.3 -1.55 414.3 207.1 138.1 103.6 82.86 69.05 59.18 51.78 46.03
22.5 -163 377.8 415.1 -1.6 427.6 213.8 142.5 106.9 85.52 71.27 61.09 53.45 47.51
22.75 -163 377.8 415 -1.64 441.9 221 147.3 110.5 88.38 73.65 63.13 55.24 49.1
23 -163 377.9 414.6 -1.68 426.7 213.3 142.2 106.7 85.33 71.11 60.95 53.33 47.41
23.25 -163 377.9 414 -1.71 382.3 191.2 127.4 95.59 76.47 63.72 54.62 47.79 42.48
23.5 -163 378 413.1 -1.73 309 154.5 103 77.24 61.79 51.49 44.14 38.62 34.33
23.75 -163 378.1 412.2 -1.76 235.6 117.8 78.52 58.89 47.11 39.26 33.65 29.45 26.17
24 -163 378.3 411.9 -1.69 207.9 104 69.31 51.98 41.58 34.65 29.7 25.99 23.1
24.25 -163 378.7 412.2 -1.55 225.6 112.8 75.19 56.39 45.11 37.59 32.22 28.19 25.06
19.5 -162.8 382.6 412 -0.85 -274.8 -137.4 -91.61 -68.71 -54.97 -45.81 -39.26 -34.35 -30.54
19.75 -162.8 382.4 413.1 -0.96 -215.7 -107.9 -71.91 -53.94 -43.15 -35.96 -30.82 -26.97 -23.97
20 -162.8 382.1 413.9 -1.09 -163.3 -81.66 -54.44 -40.83 -32.66 -27.22 -23.33 -20.42 -18.15
20.25 -162.8 381.6 414.3 -1.19 -120 -59.98 -39.98 -29.99 -23.99 -19.99 -17.14 -14.99 -13.33
20.5 -162.8 381 414.4 -1.25 -84.21 -42.11 -28.07 -21.05 -16.84 -14.04 -12.03 -10.53 -9.357
20.75 -162.8 380.4 414.4 -1.29 -48.47 -24.23 -16.16 -12.12 -9.694 -8.078 -6.924 -6.059 -5.385
21 -162.8 379.7 414.6 -1.33 6.813 3.407 2.271 1.703 1.363 1.136 0.9733 0.8516 0.757
21.25 -162.8 379.1 414.9 -1.36 82.59 41.29 27.53 20.65 16.52 13.76 11.8 10.32 9.176
21.5 -162.8 378.4 415.4 -1.38 177.9 88.95 59.3 44.47 35.58 29.65 25.41 22.24 19.77
