Pressure    Depth  Temperature   Density   Basalt       Vs         Vp        Entropy
 (GPa)       (km)     (K)       (g/cm^3)  Fraction    (km/s)     (km/s)     (J/(g.K))
  0.00       0.00    1600.00     3.18227   0.000     4.26131     7.40485     2.50793
  0.10       5.74    1600.00     3.18722   0.000     4.26849     7.41834     2.50671
  0.20       9.64    1600.00     3.19238   0.000     4.27613     7.43180     2.50552
  0.30      13.55    1600.00     3.19773   0.000     4.28418     7.44526     2.50437
  0.40      17.22    1600.00     3.20172   0.000     4.28935     7.45909     2.50304
  0.50      20.74    1600.00     3.20524   0.000     4.29356     7.47293     2.50167
  0.60      24.26    1600.00     3.20877   0.000     4.29782     7.48682     2.50029
  0.70      27.30    1600.00     3.21228   0.000     4.30206     7.50061     2.49892
  0.80      30.33    1600.00     3.21576   0.000     4.30627     7.51423     2.49756
  0.90      33.35    1600.00     3.21922   0.000     4.31044     7.52770     2.49622
  1.00      36.37    1600.00     3.22266   0.000     4.31456     7.54102     2.49489
  1.10      39.40    1600.00     3.22607   0.000     4.31865     7.55418     2.49358
  1.20      42.39    1600.00     3.22947   0.000     4.32270     7.56720     2.49228
  1.30      45.37    1600.00     3.23283   0.000     4.32671     7.58008     2.49099
  1.40      48.36    1600.00     3.23618   0.000     4.33069     7.59282     2.48972
  1.50      51.34    1600.00     3.23951   0.000     4.33464     7.60544     2.48846
  1.60      54.33    1600.00     3.24282   0.000     4.33855     7.61794     2.48722
  1.70      57.31    1600.00     3.24610   0.000     4.34243     7.63032     2.48598
  1.80      60.30    1600.00     3.24937   0.000     4.34628     7.64259     2.48476
  1.90      63.33    1600.00     3.25262   0.000     4.35010     7.65474     2.48355
  2.00      66.36    1600.00     3.25586   0.000     4.35389     7.66679     2.48235
  2.10      69.39    1600.00     3.25907   0.000     4.35765     7.67874     2.48116
  2.20      72.42    1600.00     3.26227   0.000     4.36138     7.69059     2.47998
  2.30      75.45    1600.00     3.26545   0.000     4.36509     7.70235     2.47881
  2.40      78.48    1600.00     3.26862   0.000     4.36877     7.71401     2.47765
  2.50      81.50    1600.00     3.27397   0.000     4.37601     7.73685     2.47615
  2.60      84.49    1600.00     3.27844   0.000     4.38182     7.75512     2.47480
  2.70      87.48    1600.00     3.28269   0.000     4.38729     7.77222     2.47350
  2.80      90.47    1600.00     3.28675   0.000     4.39246     7.78836     2.47224
  2.90      93.46    1600.00     3.29067   0.000     4.39740     7.80371     2.47101
  3.00      96.45    1600.00     3.29445   0.000     4.40214     7.81839     2.46981
  3.10      99.44    1600.00     3.29813   0.000     4.40671     7.83250     2.46863
  3.20     102.44    1600.00     3.30171   0.000     4.41113     7.84613     2.46747
  3.30     105.43    1600.00     3.30522   0.000     4.41542     7.85934     2.46633
  3.40     108.42    1600.00     3.30865   0.000     4.41961     7.87218     2.46521
  3.50     111.41    1600.00     3.31202   0.000     4.42369     7.88469     2.46410
  3.60     114.40    1600.00     3.31533   0.000     4.42769     7.89692     2.46301
  3.70     117.41    1600.00     3.31860   0.000     4.43160     7.90889     2.46193
  3.80     120.43    1600.00     3.32182   0.000     4.43545     7.92063     2.46086
  3.90     123.45    1600.00     3.32500   0.000     4.43923     7.93215     2.45981
  4.00     126.47    1600.00     3.32815   0.000     4.44296     7.94349     2.45877
  4.10     129.48    1600.00     3.33126   0.000     4.44663     7.95466     2.45773
  4.20     132.50    1600.00     3.33434   0.000     4.45025     7.96566     2.45671
  4.30     135.52    1600.00     3.33739   0.000     4.45382     7.97652     2.45570
  4.40     138.53    1600.00     3.34041   0.000     4.45735     7.98725     2.45469
