Pressure    Depth  Temperature   Density   Basalt       Vs         Vp        Entropy
 (GPa)       (km)     (K)       (g/cm^3)  Fraction    (km/s)     (km/s)     (J/(g.K))
  0.00       0.00    1700.00     3.17304   0.000     4.22685     7.32058     2.58572
  0.10       5.74    1700.00     3.17676   0.000     4.23130     7.33539     2.58427
  0.20       9.64    1700.00     3.18044   0.000     4.23566     7.35004     2.58282
  0.30      13.55    1700.00     3.18408   0.000     4.23997     7.36452     2.58140
  0.40      17.22    1700.00     3.18769   0.000     4.24425     7.37884     2.57998
  0.50      20.74    1700.00     3.19128   0.000     4.24849     7.39301     2.57859
  0.60      24.26    1700.00     3.19485   0.000     4.25271     7.40705     2.57720
  0.70      27.30    1700.00     3.19839   0.000     4.25689     7.42093     2.57583
  0.80      30.33    1700.00     3.20191   0.000     4.26104     7.43466     2.57448
  0.90      33.35    1700.00     3.20541   0.000     4.26515     7.44827     2.57314
  1.00      36.37    1700.00     3.20888   0.000     4.26924     7.46174     2.57181
  1.10      39.40    1700.00     3.21234   0.000     4.27329     7.47509     2.57050
  1.20      42.39    1700.00     3.21577   0.000     4.27732     7.48831     2.56919
  1.30      45.37    1700.00     3.21918   0.000     4.28132     7.50142     2.56790
  1.40      48.36    1700.00     3.22258   0.000     4.28529     7.51442     2.56663
  1.50      51.34    1700.00     3.22595   0.000     4.28924     7.52731     2.56536
  1.60      54.33    1700.00     3.22931   0.000     4.29316     7.54010     2.56410
  1.70      57.31    1700.00     3.23264   0.000     4.29707     7.55280     2.56286
  1.80      60.30    1700.00     3.23597   0.000     4.30096     7.56542     2.56162
  1.90      63.33    1700.00     3.23929   0.000     4.30487     7.57804     2.56038
  2.00      66.36    1700.00     3.24261   0.000     4.30881     7.59070     2.55913
  2.10      69.39    1700.00     3.24592   0.000     4.31276     7.60333     2.55788
  2.20      72.42    1700.00     3.24922   0.000     4.31669     7.61587     2.55664
  2.30      75.45    1700.00     3.25249   0.000     4.32059     7.62829     2.55541
  2.40      78.48    1700.00     3.25575   0.000     4.32446     7.64061     2.55420
  2.50      81.50    1700.00     3.25900   0.000     4.32830     7.65281     2.55299
  2.60      84.49    1700.00     3.26222   0.000     4.33211     7.66490     2.55179
  2.70      87.48    1700.00     3.26579   0.000     4.33649     7.67875     2.55055
  2.80      90.47    1700.00     3.27056   0.000     4.34288     7.69887     2.54911
  2.90      93.46    1700.00     3.27506   0.000     4.34883     7.71752     2.54772
  3.00      96.45    1700.00     3.27935   0.000     4.35443     7.73500     2.54638
  3.10      99.44    1700.00     3.28345   0.000     4.35974     7.75151     2.54509
  3.20     102.44    1700.00     3.28740   0.000     4.36481     7.76723     2.54383
  3.30     105.43    1700.00     3.29123   0.000     4.36967     7.78227     2.54259
  3.40     108.42    1700.00     3.29495   0.000     4.37436     7.79673     2.54139
  3.50     111.41    1700.00     3.29858   0.000     4.37890     7.81070     2.54020
  3.60     114.40    1700.00     3.30213   0.000     4.38331     7.82424     2.53904
  3.70     117.41    1700.00     3.30560   0.000     4.38760     7.83740     2.53789
  3.80     120.43    1700.00     3.30902   0.000     4.39180     7.85022     2.53676
  3.90     123.45    1700.00     3.31237   0.000     4.39590     7.86275     2.53565
  4.00     126.47    1700.00     3.31568   0.000     4.39992     7.87501     2.53455
  4.10     129.48    1700.00     3.31894   0.000     4.40387     7.88703     2.53346
  4.20     132.50    1700.00     3.32217   0.000     4.40775     7.89883     2.53239
  4.30     135.52    1700.00     3.32535   0.000     4.41157     7.91043     2.53133
  4.40     138.53    1700.00     3.32850   0.000     4.41533     7.92185     2.53028
  4.50     141.55    1700.00     3.33162   0.000     4.41904     7.93311     2.52923
  4.60     144.57    1700.00     3.33470   0.000     4.42270     7.94421     2.52820
  4.70     147.59    1700.00     3.33777   0.000     4.42632     7.95517     2.52718
  4.80     150.60    1700.00     3.34080   0.000     4.42990     7.96600     2.52617
